01_TB_HOKKAIDO,02_TB_AOMORI,03_TB_IWATE,04_TB_MIYAGI,05_TB_AKITA,06_TB_YAMAGATA,07_TB_FUKUSHIMA,08_TB_IBARAGI,09_TB_TOCHIGI,10_TB_GUNNMA,11_TB_SAITAMA,12_TB_CHIBA,13_TB_TOKYO,14_TB_KANAGAWA,15_TB_NIIGATA,16_TB_TOYOAMA,17_TB_ISHIKAWA,18_TB_FUKUI,19_TB_YAMANASHI,20_TB_NAGANO,21_TB_GIFU,22_TB_SHIZUOKA,23_TB_AICHI,24_TB_MIE,25_TB_SHIGA,26_TB_KYOTO,27_TB_OSAKA,28_TB_HYOGO,29_TB_NARA,30_TB_WAKAYAMA,31_TB_TOTTORI,32_TB_SHIMANE,33_TB_OKAYAMA,34_TB_HIROSHIMA,35_TB_YAMAGUCHI,36_TB_TOKUSHIMA,37_TB_KAGAWA,38_TB_EHIME,39_TB_KOCHI,40_TB_FUKUOKA,41_TB_SAGA,42_TB_NAGASAKI,43_TB_KUMAMOTO,44_TB_OITA,45_TB_MIYAZAKI,46_TB_KAGOSHIMA,47_TB_OKINAWA,Date
84,20,22,44,25,15,21,37,35,33,108,135,361,179,25,25,31,18,15,20,50,75,181,48,20,68,391,186,35,31,12,15,49,39,22,30,18,30,24,105,13,38,34,28,30,48,32,Nov-01
102,41,21,31,15,10,26,58,38,35,146,125,323,177,48,20,13,12,12,20,48,76,157,44,44,62,303,170,25,19,13,8,47,44,35,21,12,23,20,130,21,34,41,30,18,46,33,Dec-01
90,21,17,41,16,16,30,49,29,25,114,107,316,133,30,10,16,15,8,22,33,58,147,26,18,44,338,131,46,24,21,11,32,55,29,15,21,28,11,107,14,32,31,23,19,28,19,Jan-02
85,19,23,33,17,19,20,32,27,32,114,90,306,138,36,26,12,12,15,12,52,58,128,40,28,46,312,124,30,28,12,16,35,41,49,16,20,18,16,97,17,25,20,31,18,29,19,Feb-02
97,29,18,28,14,13,26,47,27,37,124,119,311,153,37,20,14,8,14,37,54,61,165,34,25,49,332,138,37,18,10,10,34,54,28,16,23,25,16,118,20,31,25,21,40,34,18,Mar-02
72,28,19,34,13,12,27,56,27,24,145,133,321,152,49,19,16,13,9,28,62,67,172,41,29,65,364,158,26,25,13,8,26,61,34,32,13,41,21,135,19,44,37,37,25,33,20,Apr-02
91,26,25,43,16,16,25,44,23,33,122,117,365,190,45,20,18,18,9,30,65,65,184,50,30,58,398,181,29,29,12,9,45,58,38,23,28,31,14,134,14,32,43,32,35,45,26,May-02
90,15,23,33,21,16,33,49,39,29,130,124,341,175,32,28,22,10,11,21,34,71,188,42,18,69,342,172,43,32,15,20,44,68,43,19,20,22,18,103,23,32,33,28,32,36,25,Jun-02
91,30,19,24,28,26,51,64,28,41,168,136,384,198,65,25,20,15,15,23,69,87,198,39,25,89,368,182,33,38,14,15,42,60,33,28,20,35,21,141,17,57,39,31,35,32,29,Jul-02
91,22,23,32,20,17,35,60,31,25,140,110,334,159,33,32,29,20,11,21,46,68,178,41,28,70,366,160,36,29,9,10,41,46,31,18,30,25,21,120,22,33,37,25,30,37,35,Aug-02
77,30,17,25,16,14,32,45,46,25,111,118,310,171,43,23,18,10,10,16,52,66,158,32,26,66,318,129,18,27,6,12,24,41,37,15,18,31,13,105,13,34,26,30,30,31,26,Sep-02
98,30,20,28,13,11,35,58,26,24,134,117,336,156,42,28,23,12,12,22,62,68,174,55,28,66,394,178,23,21,13,17,40,64,22,20,30,37,24,128,17,34,36,25,27,40,19,Oct-02
83,34,14,32,16,12,28,44,32,25,112,103,305,166,49,16,14,12,14,22,60,57,162,39,20,66,297,170,19,24,10,14,37,39,34,16,22,18,16,122,19,39,36,32,23,40,31,Nov-02
87,26,32,34,16,13,23,44,40,24,114,117,297,143,51,17,24,17,8,23,48,82,163,34,26,74,327,145,37,23,9,15,41,41,23,19,26,30,28,105,16,38,32,28,21,41,27,Dec-02
80,34,21,25,6,12,32,44,30,28,100,90,282,144,53,15,19,9,4,27,31,63,141,27,21,63,311,144,33,22,11,11,31,57,20,18,21,21,13,102,13,29,35,24,13,38,23,Jan-03
